distance,order_hour,restaurant_rating,traffic_level,delivery_time
8.12,12,4.7,low,34.2
19.06,19,4.5,high,74.6
14.91,14,1.2,high,76.7
12.37,2,1.1,medium,54.2
3.96,22,2.5,medium,24.6
3.96,7,4.2,low,15.5
2.1,19,4.9,low,19.2
17.46,15,1.6,low,54.1
12.42,12,3.4,high,65.6
14.45,17,2.5,low,50.7
1.39,9,4.9,low,9.0
19.43,18,4.4,low,52.8
16.82,16,4.4,medium,52.5
5.03,23,2.9,high,36.5
4.45,18,2.7,low,19.3
4.48,22,2.1,low,25.5
6.78,4,1.2,medium,33.2
10.97,20,4.5,medium,49.6
9.21,22,4.3,low,29.7
6.53,8,5.0,medium,33.9
12.63,11,5.0,low,45.2
3.65,20,3.2,low,22.3
6.55,0,4.1,medium,29.8
7.96,0,4.8,medium,37.2
9.67,14,4.4,high,57.8
15.92,1,2.0,low,54.3
4.79,21,2.8,medium,36.9
10.77,15,1.5,medium,43.3
12.26,7,4.8,low,38.6
1.88,12,3.4,medium,30.6
12.54,20,1.9,low,49.9
4.24,0,3.7,high,37.4
2.24,15,3.5,low,16.3
19.03,6,2.4,medium,67.7
19.35,4,1.5,low,62.0
16.36,21,3.7,high,75.1
6.79,22,3.1,medium,32.4
2.86,2,4.1,medium,22.5
14.0,11,3.1,low,46.5
9.36,15,4.4,medium,35.5
3.32,18,,low,17.2
10.41,4,3.2,high,50.6
1.65,21,4.5,low,17.7
18.28,13,2.6,low,64.9
5.92,4,1.5,low,24.9
13.59,14,1.1,medium,59.0
6.92,16,4.0,medium,28.2
10.88,13,3.5,low,43.9
11.39,19,3.8,medium,52.6
4.51,4,1.9,medium,34.9
19.42,11,1.5,medium,65.1
15.73,15,1.1,medium,57.9
18.85,15,2.4,medium,64.5
18.0,20,3.4,medium,72.3
12.36,6,2.6,low,39.0
18.52,3,,low,55.4
2.68,0,4.6,high,32.9
4.72,4,2.4,high,39.0
1.86,22,3.1,low,11.2
7.18,9,4.1,low,25.4
8.38,21,2.6,medium,47.6
6.16,4,3.5,medium,27.8
16.75,3,4.4,low,48.9
7.78,1,4.8,low,23.5
6.34,19,1.6,medium,43.8
11.31,9,4.7,medium,38.0
3.68,18,3.0,low,15.5
16.24,0,2.0,low,50.7
2.42,23,2.8,low,18.9
19.75,4,4.9,medium,63.3
15.67,12,3.0,low,52.5
4.78,3,2.3,low,26.3
1.1,15,3.5,medium,13.9
16.49,23,2.0,low,43.6
14.43,15,1.3,medium,55.1
14.85,22,1.5,low,45.1
15.65,1,1.5,low,45.6
